X,Y
32.7836,117.1047
32.7754,117.1014
32.7718,117.1194
32.7736,117.1156
32.7754,117.1014
32.7645,117.1505
32.7672,117.1407
32.7695,117.1298
32.7718,117.1194
32.7754,117.1014
32.7794,117.0793
32.7810,117.0608
32.7821,117.0449
32.7800,117.0350
33.1815,117.3410
33.1689,117.3309
33.1526,117.3139
33.1526,117.3139
33.1426,117.3026
33.1329,117.2962
33.1227,117.2902
33.1125,117.2854
33.1040,117.2820
33.0941,117.2782
33.0813,117.2735
33.0681,117.2677
33.0498,117.2606
33.0271,117.2520
33.0092,117.2454
32.9925,117.2409
32.9805,117.2383
32.9685,117.2362
32.9565,117.2330
32.9463,117.2298
32.9287,117.2248
32.9129,117.2208
32.8970,117.2189
32.8871,117.2183
32.8850,117.2190
32.8850,117.2190
32.8763,117.2223
32.8636,117.2244
32.8559,117.2271
32.8559,117.2271
32.8499,117.2320
32.8422,117.2315
32.8404,117.2304
32.8354,117.2303
32.8354,117.2303
32.8222,117.2265
32.8158,117.2210
32.8131,117.2183
32.8094,117.2133
32.8063,117.2095
32.7999,117.2051
32.7931,117.2024
32.7785,117.2007
32.7744,117.2013
32.7685,117.2023
32.7626,117.2018
32.7589,117.2001
33.4831,117.1255
33.4690,117.1243
33.4567,117.1271
33.4485,117.1309
33.4326,117.1413
33.4185,117.1551
33.4053,117.1633
33.3875,117.1644
33.3748,117.1616
33.3684,117.1583
33.3648,117.1539
33.3575,117.1467
33.3512,117.1440
33.3448,117.1417
32.8151,116.9215
32.8169,116.9192
32.8264,116.9072
32.8369,116.8957
32.8465,116.8875
32.8551,116.8815
32.8592,116.8766
32.8628,116.8668
32.8687,116.8438
32.8705,116.8252
32.8687,116.8160
32.8650,116.8067
32.8609,116.8001
32.8541,116.7914
32.8499,116.7832
32.8481,116.7740
32.8508,116.7641
32.8490,116.7587
32.8472,116.7549
32.8439,116.7429
32.8394,116.7352
32.8362,116.7243
32.8339,116.7145
32.8366,116.7052
32.8393,116.6970
32.8424,116.6866
32.8438,116.6735
32.8451,116.6632
32.8451,116.6561
32.8469,116.6435
32.8455,116.6364
32.8423,116.6293
32.8404,116.6244
32.8395,116.6179
32.8386,116.6113
32.8399,116.6031
32.8431,116.5993
32.8463,116.5955
32.8485,116.5922
32.8553,116.5834
32.7550,117.2250
32.7563,117.2169
32.7578,117.2094
32.7586,117.2032
32.7589,117.2001
32.7800,117.0350
32.7862,117.0269
32.7901,117.0210
32.7923,117.0146
32.7935,117.0104
32.7929,117.0025
32.7928,116.9955
32.7930,116.9950
32.7930,116.9950
32.7975,116.9900
32.8018,116.9838
32.8097,116.9759
32.8129,116.9709
32.8166,116.9669
32.8184,116.9613
32.8180,116.9601
32.6916,117.1095
32.6853,117.1057
32.6771,117.0997
32.6643,117.0926
32.6497,117.0888
32.6302,117.0844
32.6133,117.0816
32.6010,117.0805
32.5947,117.0805
32.5878,117.0794
32.7589,117.2001
32.7608,117.1881
32.7612,117.1789
32.7631,117.1680
32.7635,117.1565
32.7645,117.1505
32.7589,117.2001
32.7563,117.1973
32.7521,117.1939
32.7468,117.1882
32.7438,117.1848
32.7400,117.1809
32.7370,117.1775
32.7340,117.1741
32.7302,117.1668
32.7291,117.1574
32.7284,117.1523
32.7280,117.1490
32.7280,117.1490
32.7244,117.1435
32.7216,117.1354
32.7194,117.1300
32.7194,117.1300
32.7144,117.1302
32.7121,117.1313
32.7121,117.1313
32.7076,117.1270
32.7039,117.1215
32.6998,117.1155
32.6916,117.1095
32.5878,117.0794
32.5816,117.0785
32.5763,117.0764
32.5700,117.0722
32.5668,117.0692
32.5668,117.0692
32.5621,117.0647
32.5564,117.0586
32.5523,117.0506
35.0787,118.1786
35.0628,118.1756
35.0501,118.1703
34.7790,118.1685
34.7569,118.1625
34.7378,118.1589
34.7197,118.1575
34.6979,118.1527
34.6734,118.1495
34.6457,118.1447
34.6212,118.1409
34.5972,118.1378
34.5840,118.1365
34.4500,118.6049
34.4465,118.5942
34.4420,118.5874
34.4366,118.5812
34.4245,118.5737
34.4123,118.5668
34.4019,118.5615
34.3888,118.5563
34.3780,118.5510
34.3694,118.5481
34.3640,118.5446
34.3568,118.5345
34.3488,118.5282
34.3397,118.5224
34.3352,118.5207
34.3330,118.5184
34.3330,118.5184
34.3371,118.5135
34.3417,118.5114
34.3454,118.5081
34.3513,118.5060
34.3582,118.5039
34.3664,118.5013
34.3700,118.5002
34.3737,118.4981
34.3755,118.4964
34.3783,118.4926
34.3802,118.4893
34.3857,118.4827
34.3880,118.4789
34.3963,118.4695
34.4005,118.4646
34.4023,118.4624
34.4055,118.4591
34.4138,118.4548
34.4202,118.4505
34.4243,118.4472
34.4280,118.4401
34.4323,118.4234
34.4353,118.4068
34.4414,118.3885
34.4462,118.3680
34.4518,118.3530
34.4663,118.3193
34.4709,118.3076
34.4747,118.2932
34.4776,118.2815
34.4786,118.2693
34.4810,118.2610
34.4870,118.2494
34.4939,118.2411
34.4972,118.2367
34.4986,118.2328
34.5009,118.2284
34.5018,118.2223
34.5019,118.2178
34.5015,118.2106
34.4982,118.1849
34.4964,118.1737
34.4952,118.1642
34.4953,118.1508
34.4958,118.1419
34.5019,118.1314
34.5070,118.1209
34.5125,118.1126
34.5153,118.1087
34.5216,118.1066
34.5280,118.1050
34.5384,118.1079
34.5447,118.1130
34.5519,118.1210
34.5560,118.1277
34.5609,118.1306
34.5695,118.1340
34.5782,118.1347
34.5840,118.1365
35.0501,118.1703
35.0472,118.1490
35.0432,118.1337
35.0379,118.1163
35.0341,118.0921
35.0303,118.0650
35.0300,118.0381
35.0298,118.0134
35.0295,117.9971
35.0287,117.9887
35.0274,117.9769
35.0262,117.9600
35.0245,117.9431
35.0233,117.9184
35.0217,117.8948
35.0200,117.8718
35.0200,117.8718
35.0184,117.8504
35.0163,117.8179
35.0133,117.7943
35.0134,117.7785
35.0126,117.7695
35.0135,117.7634
35.0127,117.7566
35.0132,117.7477
35.0160,117.7320
35.0193,117.7124
35.0190,117.6933
35.0173,117.6652
35.0147,117.6444
35.0120,117.6348
35.0120,117.6348
35.0112,117.6275
35.0103,117.6202
35.0062,117.6151
35.0044,117.6129
35.0040,117.6061
35.0036,117.5977
35.0027,117.5932
35.0014,117.5882
34.9991,117.5831
34.9955,117.5797
34.9905,117.5740
34.9878,117.5690
34.9861,117.5600
34.9857,117.5465
34.9839,117.5308
34.9839,117.5308
34.9055,117.5129
34.8401,117.4979
34.8184,117.4916
34.8002,117.4842
34.7775,117.4762
34.7499,117.4682
34.7177,117.4563
34.6846,117.4443
34.6619,117.4369
34.6333,117.4262
34.6142,117.4210
34.6043,117.4182
34.5929,117.4164
34.5875,117.4170
34.5852,117.4147
34.5847,117.4136
34.5862,117.4030
